amfi_code,Alpha,Beta,R_squared,P_value
119598,0.30336965386983256,-0.023196062044059548,0.00014142575502721613,0.6871791461096057
149324,0.30057878170976665,0.011455159960520989,3.532990626795753e-05,0.8404935891843258
120505,0.29263583341750954,0.0005490042506315874,1.345534167566283e-07,0.9900902356906163
148569,0.2827036785246577,0.018133884083859367,0.0001748888656812991,0.6542952865906919
120843,0.2733046503830598,-0.022829569792426622,0.00034305434271515,0.5305284121437405
100033,0.271953545012853,0.005103525830528384,1.2066520635068588e-05,0.9063691402409362
148567,0.26983751441917886,0.023683558075848543,0.00046254369066238546,0.4664265197542744
149323,0.26598577542042906,-0.0025230046646989275,3.357978192008033e-06,0.9505247706268722
119094,0.26076669080042136,-0.06626542862803697,0.0019368789369602095,0.1359875235249871
119551,0.2320100716063496,-0.031751441138909535,0.000886978887932278,0.3131430272308466
118632,0.2182939790460857,-0.008353832126962035,5.7917562701279006e-05,0.7966457465470171
101206,0.2139978477605115,0.021086316250127846,0.0003480482030714219,0.5275509209180695
120504,0.21194827013525636,0.016232169761416886,0.00021216129075887335,0.6218551541356464
148568,0.20873010086942273,-0.026387719943842817,0.0004859264752797284,0.4553703178742
119552,0.19868599366862885,-0.026159307513513214,0.0005850821704543392,0.41270558180205574
125497,0.17729754927531685,0.048820404259577094,0.001840179278307151,0.14617594874598727
120503,0.1770330236584399,-0.040268952369820234,0.001397444608331848,0.20543745183411763
118634,0.17500721675611194,0.1034966369133754,0.00279300656106631,0.07333892285784373
102885,0.1704875680341263,-0.01948678568947462,0.00038285030730924566,0.5075948866941979
120506,0.16253853279981,0.04189646272811958,0.0012571178108220732,0.2297848810754316
102887,0.16211256794033213,0.016682689437770768,0.00018619166432850176,0.6440466770890052
118633,0.1564383594816961,-0.036639006718609146,0.001138294717108425,0.25315678850632445
118635,0.15136354648239184,-0.0014335213897801425,2.0253408972328908e-06,0.9615666405413439
149322,0.1317319022609936,-0.004050271130006768,1.3227607880852102e-05,0.9019895024404962
120841,0.13042924450705362,0.036356399022199545,0.0012113711061211814,0.23845930871566506
125498,0.11989100971217899,0.009054412621739264,4.04374655363437e-05,0.8295182110189192
101207,0.10897091901704521,-0.06528924788351498,0.0010641052735572585,0.2692338285998006
119093,0.08232801295222025,0.025883212440092746,0.0005692038090244743,0.41912120462856306
120842,0.07804438876154987,0.01805687420811811,0.00016915548838314387,0.6596465767530766
119092,0.0689952982167752,0.009730745001153576,8.082637693810745e-05,0.7608083592013821
120507,0.06746210411098824,-0.0004440926329706656,0.0001343066144067879,0.6947484438507134
120844,0.0645567749537528,-0.0004007442394783575,0.00010125435692271297,0.7333100820090861
101208,0.060861457957864774,0.00026670968338229656,4.6076236771030764e-05,0.8182140691420066
119120,0.056208952166382664,-0.006413850728276534,0.0004342603321720262,0.4803856630002761
118636,0.050747729999759995,0.0012566742731554958,1.6516652310324082e-05,0.8905486864137875
119599,0.0488242159455394,0.06200180438267142,0.0010259205326765928,0.2780039623382633
119095,0.04801595363775957,-0.06695117463929194,0.001185159346448675,0.24360834209000312
100025,0.0428179203150603,0.0011582183155282484,1.461284204184806e-05,0.8970124515162619
100016,0.03747580763443287,-0.05826843143880886,0.002665032698133343,0.08026442483699504
102886,0.028969397866379254,-0.04212502902189419,0.0008964294600687586,0.3105777081466045
