amfi_code,CAGR_3Y,Sharpe_Ratio,Alpha,Maximum_Drawdown,expense_ratio_pct,Return_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,Return_Score,Sharpe_Score,Alpha_Score,Expense_Score,Drawdown_Score,Fund_Score,Overall_Rank
148567,34.00091602163293,1.4128532757880052,0.264345711453572,-0.1126572907502827,1.46,2.0,1.0,8.0,23.0,8.0,97.43589743589743,100.0,82.05128205128204,43.58974358974359,82.05128205128204,85.38461538461537,1
120505,31.777537151234704,1.1808728409797056,0.2923698228795052,-0.1818851357211629,1.36,5.0,5.0,3.0,15.0,25.0,89.74358974358975,89.74358974358975,94.87179487179486,64.1025641025641,38.46153846153847,81.7948717948718,2
120843,29.58277033726251,1.292626308239944,0.2707891146643884,-0.1297396816518679,1.45,7.0,2.0,6.0,22.0,13.0,84.61538461538461,97.43589743589743,87.17948717948718,46.15384615384615,69.23076923076923,81.02564102564102,3
100033,32.44245942195612,1.1235136999927675,0.2777692256220888,-0.1621720857464484,1.38,4.0,7.0,5.0,17.0,20.0,92.3076923076923,84.61538461538461,89.74358974358975,58.97435897435898,51.28205128205128,80.76923076923076,4
120504,32.48742855621496,1.0211469007276857,0.2111542713599757,-0.1258827560692251,0.8,3.0,10.0,13.0,12.0,12.0,94.87179487179486,76.92307692307693,69.23076923076923,71.7948717948718,71.7948717948718,79.48717948717949,5
119094,35.11180209642853,0.986744797980384,0.2588898664828327,-0.2096088386203919,1.38,1.0,12.0,9.0,17.0,29.0,100.0,71.7948717948718,79.48717948717949,58.97435897435898,28.205128205128204,75.51282051282051,6
119551,30.456524420302888,1.1811738333513888,0.2284008767161427,-0.1501238549864533,1.54,6.0,4.0,10.0,30.5,17.0,87.17948717948718,92.3076923076923,76.92307692307693,24.358974358974358,58.97435897435898,74.16666666666667,7
148569,29.178901578393777,1.2080984623697857,0.2779779435908718,-0.1639674294693263,1.6,8.0,3.0,4.0,36.5,21.0,82.05128205128204,94.87179487179486,92.3076923076923,8.974358974358974,48.717948717948715,73.01282051282051,8
101206,28.96769452874166,1.0254587302001903,0.2138697650394284,-0.1129159632932307,1.6,9.0,9.0,12.0,36.5,9.0,79.48717948717949,79.48717948717949,71.7948717948718,8.974358974358974,79.48717948717949,67.37179487179486,9
119598,26.66992200118774,0.9608987931401658,0.3076248589870728,-0.2870600572176455,1.43,12.0,14.0,1.0,21.0,36.0,71.7948717948718,66.66666666666666,100.0,48.717948717948715,10.256410256410255,66.53846153846153,10
