amfi_code,Mean_Daily_Return,Std_Dev,Sharpe_Ratio,Rank
148567,0.001062140148680002,0.00893151608300585,1.4293583421353098,1
120843,0.001078536326868975,0.00999605963281302,1.303175327009707,2
148569,0.0011053764135492247,0.011133347358917967,1.2083240569301017,3
119551,0.000913562957354529,0.008662276606174163,1.2015025266313752,4
120505,0.001154232640044537,0.012116186712393864,1.174318317924838,5
149323,0.0010490520575072227,0.011186504332069082,1.1226536585588534,6
100033,0.0010971306215435352,0.011930718007342125,1.1165961302314484,7
118632,0.0008622022344139602,0.008919029024104531,1.075500595684829,8
120504,0.000842375461120423,0.009040667905717994,1.02621629911585,9
101206,0.000848881358177213,0.00918467947938998,1.0213702824140727,10
119552,0.0008070231906135932,0.008768768655809141,0.9940370427849674,11
119094,0.001017156120005853,0.012226586013462364,0.9857402295980353,12
119598,0.001220456097053829,0.015842770924623682,0.9644477510715479,13
149324,0.0012076673988638009,0.015657292223737233,0.9629066305679485,14
148568,0.0008193567033326326,0.009714539576720936,0.9174155128793944,15
102885,0.000672505753851319,0.008083534886492242,0.8141342677241549,16
120503,0.0006901080512324317,0.008752103279322647,0.7838699275736772,17
125497,0.0007061809029851431,0.009247981152441595,0.769428382040447,18
118635,0.0006218544868683893,0.008169280561940825,0.7071637184537491,19
118633,0.0006394967810699613,0.008807184023234747,0.687743272012762,20
102887,0.0006602121359857113,0.009928511825058934,0.6431908159494146,21
120506,0.0006445130805538105,0.009600739670898532,0.6391916720308457,22
120841,0.0005211753684490152,0.008488101227300938,0.4923112071877904,23
149322,0.0005363020578836931,0.009043586774849415,0.48862428396851026,24
120507,0.00026712729468877526,0.0003111303713216731,0.46893273703040256,25
118634,0.0007090459651864342,0.015913878773492877,0.44999341327419184,26
125498,0.0004865830245798733,0.011568679900197653,0.31374806446284337,27
101207,0.00043413991033368224,0.01626153685219684,0.17200971364894793,28
119093,0.000333092706584308,0.008815812961227203,0.13533268819217392,29
119092,0.00028772618958553106,0.008790420467796678,0.0537968049886844,30
120842,0.0002839142559985861,0.011262389065549024,0.036616029118009374,31
119599,0.00021897660162024482,0.015720821762898757,-0.039340776749395685,32
120844,0.000255960463468607,0.00032358372063823394,-0.09694163040141297,33
119095,0.00014898237705907055,0.015783930411889774,-0.10957937361320501,34
100016,0.000139614761847631,0.009159555541527779,-0.20506447944299425,35
102886,9.42318087916915e-05,0.011427173026063412,-0.22741683602862547,36
119120,0.0002164943804015779,0.0024970867080305608,-0.2634563619426513,37
118636,0.00019909412661621095,0.0025113514100103085,-0.3719486812648797,38
100025,0.0001734910486894659,0.0024597510202731573,-0.5449860965802186,39
101208,0.00024175699228942303,0.000319076508292006,-0.8049538017977144,40
